id,type
1003732,star
1012114,star
1010478,star
1013475,star
1001826,star
1009352,star
1002119,star
1012145,star
1005050,unknown
1003591,star
1011775,star
1003498,star
1008253,star
1004077,star
1008515,unknown
1008607,star
1013275,star
1006874,star
1005894,star
1007400,star
1010345,star
1001846,star
1005187,star
1008077,star
1010953,star
1002103,star
1004880,star
1005289,star
1008119,star
1002113,star
1000872,star
1000001,star
1001294,star
1010531,star
1008976,unknown
1006006,star
1002923,star
1004904,star
1004390,star
1004292,star
1013088,star
1011763,star
1008032,star
1013085,star
1009829,star
1013572,star
1006253,star
1002379,star
1011259,star
1002231,galaxy
1003916,star
1001872,galaxy
1010075,star
1010380,star
1002354,star
1010428,star
1012018,star
1013339,star
1004665,star
1003652,unknown
1004107,star
1008488,star
1010374,star
1013478,star
1012977,star
1005070,star
1002474,star
1005633,galaxy
1004148,star
1002251,star
1014099,star
1002994,qso
1003691,unknown
1005970,unknown
1010393,star
1011115,star
1012495,star
1006878,star
1006953,star
1014054,star
1001757,star
1006574,star
1008512,unknown
1003951,star
1000742,star
1011659,star
1002260,star
1000594,star
1012144,star
1000772,star
1010468,star
1006296,star
1006687,qso
1013504,star
1012610,star
1006648,star
1009098,star
1005573,star
1006834,star
1004235,star
1011492,star
1001153,unknown
1012675,galaxy
1010892,star
1011644,star
1013038,star
1005498,star
1010532,star
1000307,star
1011602,star
1010555,star
1001997,star
1008569,star
1004036,star
1004288,star
1005248,star
1003124,star
1006249,star
1004438,star
1006984,star
1001067,unknown
1007851,star
1002208,star
1008673,star
1005117,star
1009068,star
1000593,star
1012249,unknown
1002498,star
1008805,star
1004758,star
1010252,star
1008574,star
1013916,star
1008031,star
1003928,star
1007776,star
1004797,star
1008141,star
1000246,star
1001326,star
1002410,star
1013620,star
1007622,star
1003537,star
1014055,star
1004052,star
1013195,star
1013836,star
1000678,star
1000285,star
1000864,star
1011209,star
1004583,star
1003405,star
1001487,star
1003065,star
1006868,star
1013008,star
1008156,star
1006823,star
1012485,star
1002041,star
1012456,unknown
1010115,unknown
1010869,star
1013865,star
1002934,star
1006090,star
1003237,star
1009598,star
1011905,star
1005303,star
1004345,star
1009804,star
1004799,star
1009750,star
1001518,star
1006416,star
1009244,star
1002728,unknown
1005309,star
1008548,star
1004476,star
1010830,star
1006459,star
1012233,star
1010281,star
1011653,star
1011441,star
1000790,star
1001257,star
1007856,star
1001969,star
1012871,star
1005480,star
1013453,star
1012492,star
1012585,star
1002979,star
1000187,star
1009123,star
1006360,star
1001328,star
1003457,star
1009365,star
1009585,star
1005443,star
1013485,star
1010777,star
1009270,star
1007083,star
1008336,star
1001211,star
1011055,star
1000795,star
1001431,star
1005626,star
1002001,star
1004832,star
1005200,star
1008900,star
1003305,star
1004708,star
1006284,unknown
1005316,star
1003379,star
1005002,star
1001613,star
1013494,star
1001795,star
1008094,star
1009688,star
1002554,galaxy
1005771,star
1000467,star
1011510,star
1008344,star
1000664,star
